Run Status: Accepted!
Program Runtime: 1024 milli secs
Progress: 168/168 test cases passed.
input	output	expected	
[2], 1	[]	[]	
   
[1], 1	[[1]]	[[1]]	
   
[1], 2	[[1,1]]	[[1,1]]	
   
[1,2], 1	[[1]]	[[1]]	
   
[1,2], 2	[[1,1],[2]]	[[1,1],[2]]	
   
[1,2], 3	[[1,1,1],[1,2]]	[[1,1,1],[1,2]]	
   
[1,2], 4	[[1,1,1,1],[1,1,2],[2,2]]	[[1,1,1,1],[1,1,2],[2,2]]	
   
[2,3], 5	[[2,3]]	[[2,3]]	
   
[2,3], 6	[[2,2,2],[3,3]]	[[2,2,2],[3,3]]	
   
[2,3,5], 6	[[2,2,2],[3,3]]	[[2,2,2],[3,3]]	
   
[2,3,5], 7	[[2,2,3],[2,5]]	[[2,2,3],[2,5]]	
   
[2,3,5], 8	[[2,2,2,2],[2,3,3],[3,5]]	[[2,2,2,2],[2,3,3],[3,5]]	
   
[3,5,7], 8	[[3,5]]	[[3,5]]	
   
[3,5,7], 9	[[3,3,3]]	[[3,3,3]]	
   
[3,5,7], 10	[[5,5],[3,7]]	[[5,5],[3,7]]	
   
[2,3,6,7], 7	[[2,2,3],[7]]	[[2,2,3],[7]]	
   
[8,7,4,3], 11	[[3,4,4],[4,7],[3,8]]	[[3,4,4],[4,7],[3,8]]	
   
[7,3], 17	[[3,7,7]]	[[3,7,7]]	
   
[7,3,2], 18	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,3,3,3,3],[3,3,3,3,3,3],[2,2,2,2,3,7],[2,3,3,3,7],[2,2,7,7]]	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,3,3,3,3],[3,3,3,3,3,3],[2,2,2,2,3,7],[2,3,3,3,7],[2,2,7,7]]	
   
[5,9], 15	[[5,5,5]]	[[5,5,5]]	
   
[7,3,6,5], 7	[[7]]	[[7]]	
   
[3,2,6,7], 11	[[2,2,2,2,3],[2,3,3,3],[2,3,6],[2,2,7]]	[[2,2,2,2,3],[2,3,3,3],[2,3,6],[2,2,7]]	
   
[5], 12	[]	[]	
   
[4,2,8], 8	[[2,2,2,2],[2,2,4],[4,4],[8]]	[[2,2,2,2],[2,2,4],[4,4],[8]]	
   
[7,6,4], 11	[[4,7]]	[[4,7]]	
   
[2,5,8,4], 10	[[2,2,2,2,2],[2,2,2,4],[2,4,4],[5,5],[2,8]]	[[2,2,2,2,2],[2,2,2,4],[2,4,4],[5,5],[2,8]]	
   
[6,4], 13	[]	[]	
   
[4,5,2], 16	[[2,2,2,2,2,2,2,2],[2,2,2,2,2,2,4],[2,2,2,2,4,4],[2,2,4,4,4],[4,4,4,4],[2,2,2,5,5],[2,4,5,5]]	[[2,2,2,2,2,2,2,2],[2,2,2,2,2,2,4],[2,2,2,2,4,4],[2,2,4,4,4],[4,4,4,4],[2,2,2,5,5],[2,4,5,5]]	
   
[2,3,8,4], 6	[[2,2,2],[3,3],[2,4]]	[[2,2,2],[3,3],[2,4]]	
   
[9,5,2], 12	[[2,2,2,2,2,2],[2,5,5]]	[[2,2,2,2,2,2],[2,5,5]]	
   
[5,7,4,6,8], 13	[[4,4,5],[6,7],[5,8]]	[[4,4,5],[6,7],[5,8]]	
   
[4,6], 18	[[4,4,4,6],[6,6,6]]	[[4,4,4,6],[6,6,6]]	
   
[5,7,6], 11	[[5,6]]	[[5,6]]	
   
[3,5,8,9,6], 13	[[3,5,5],[5,8]]	[[3,5,5],[5,8]]	
   
[3,2,8], 18	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,3,3,3,3],[3,3,3,3,3,3],[2,2,2,2,2,8],[2,2,3,3,8],[2,8,8]]	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,3,3,3,3],[3,3,3,3,3,3],[2,2,2,2,2,8],[2,2,3,3,8],[2,8,8]]	
   
